4;5
8;7
5;7;6
6
7
14;17;16;15;13
13
15
16;15
17;16
22;106;105;103;92;91
23;22
24;23;22
25;26
26;103;93
27;103;93
29
47
37;38
38;41;40;39
39
40
41
62;61
46;95
50;49;48;47
48
49
53;52;51;50
51
52
56;55;54;53
54
55
61;63
63;64;62
64;66;65
65
66
75;108;98
80
89;104;103;102;93;90;8;4
90;104;92;91;14
91;106;105;103;102;94;93;92;89
92;106;105;104;103;102;94;93;91;90
93;107;105;103;95;91;29
94;106;104;92;90;47;37
95;108;107;106;105;102;98;97;96;94;91;62
96;99;94;61;56
97
98;108;107;93
99;107;100;95;80
100;109;108;101;98
101;109;99;96
102;103;93;89;4
103;107;106;105;102;94;93;92;91;89;29
104;103;102;92;91;90;89;8
105;107;106;103;102;95;94;93;92;91;89
106;105;104;103;102;94;93;92;91;90;47
107;108;106;105;102;98;97;95;94;93;91;62
108;107;98;93
109;101;100;99;96
